source,target,value
2004-01,2008-01,0
2004-02,2008-02,1
2004-03,2008-03,8
2004-04,2008-04,10
2004-05,2008-05,4
2004-06,2008-06,17
2008-01,2012-01,1
2008-02,2012-02,1
2008-03,2012-03,13
2008-04,2012-04,10
2008-05,2012-05,14
2008-06,2012-06,4
2012-01,2016-01,4
2012-02,2016-02,0
2012-03,2016-03,9
2012-04,2016-04,19
2012-05,2016-05,12
2012-06,2016-06,7
2016-01,2020-01,6
2016-02,2020-02,0
2016-03,2020-03,9
2016-04,2020-04,17
2016-05,2020-05,15
2016-06,2020-06,4
