source,target,value
2004-1,2008-1,0
2004-2,2008-2,1
2004-3,2008-3,8
2004-4,2008-4,10
2004-5,2008-5,4
2004-6,2008-6,17
2008-1,2012-1,1
2008-2,2012-2,1
2008-3,2012-3,13
2008-4,2012-4,10
2008-5,2012-5,14
2008-6,2012-6,4
2012-1,2016-1,4
2012-3,2016-3,9
2012-4,2016-4,19
2012-5,2016-5,12
2012-6,2016-6,7
2016-1,2020-1,6
2016-3,2020-3,9
2016-4,2020-4,17
2016-5,2020-5,15
2016-6,2020-6,4
